Item,Price,cost,ValidFrom,ValidTo,Type
Amstel Btl,3.8,0,2021-08-19,2021-09-30,Btl
Amstel Btl,2.28,0,2021-10-01,2021-09-30,Btl
Amstel Btl,3.8,0,2021-10-01,2021-10-26,Btl
Amstel Btl,2.28,0,2021-10-27,2021-10-31,Btl
Amstel Btl,3.8,0,2021-11-01,2021-11-06,Btl
Amstel Btl,2.28,0,2021-11-07,2021-11-06,Btl
Amstel Btl,3.8,0,2021-11-07,2021-12-14,Btl
Amstel Btl,2.28,0,2021-12-15,2021-12-14,Btl
Amstel Btl,3.8,0,2021-12-15,2021-12-20,Btl
Amstel Btl,2.28,0,2021-12-21,2021-12-22,Btl
Amstel Btl,3.8,0,2021-12-23,2021-12-27,Btl
Amstel Btl,2.28,0,2021-12-28,2021-12-27,Btl
Amstel Btl,3.8,0,2021-12-28,2021-12-29,Btl
Amstel Btl,2.28,0,2021-12-30,2021-12-31,Btl
Amstel Btl,3.8,0,2022-01-01,2022-01-01,Btl
Amstel Btl,2.28,0,2022-01-02,2022-01-01,Btl
Amstel Btl,3.8,0,2022-01-02,2022-02-11,Btl
Amstel Btl,2.28,0,2022-02-12,2022-02-21,Btl
Amstel Btl,3.8,0,2022-02-22,2022-03-12,Btl
Amstel Btl,2.28,0,2022-03-13,2022-03-14,Btl
Amstel Btl,3.8,0,2022-03-15,2022-03-21,Btl
Amstel Btl,2.28,0,2022-03-22,2022-03-22,Btl
Amstel Btl,3.8,0,2022-03-23,2022-03-24,Btl
Amstel Btl,2.28,0,2022-03-25,2022-03-24,Btl
Amstel Btl,3.8,0,2022-03-25,2022-03-29,Btl
Amstel Btl,2.28,0,2022-03-30,2022-04-20,Btl
Amstel Btl,3.8,0,2022-04-21,2022-04-23,Btl
Amstel Btl,2.28,0,2022-04-24,2022-04-23,Btl
Amstel Btl,3.8,0,2022-04-24,2022-04-25,Btl
Amstel Btl,2.28,0,2022-04-26,2022-04-25,Btl
Amstel Btl,3.8,0,2022-04-26,2022-04-26,Btl
Amstel Btl,2.28,0,2022-04-27,2022-04-27,Btl
Amstel Btl,3.8,0,2022-04-28,2022-05-05,Btl
Amstel Btl,2.28,0,2022-05-06,2022-05-07,Btl
Amstel Btl,3.8,0,2022-05-08,2022-05-17,Btl
Amstel Btl,2.28,0,2022-05-18,2022-05-18,Btl
Amstel Btl,3.8,0,2022-05-19,2022-05-23,Btl
Amstel Btl,2.28,0,2022-05-24,2022-05-23,Btl
Amstel Btl,3.8,0,2022-05-24,2022-05-25,Btl
Amstel Btl,2.28,0,2022-05-26,2022-05-27,Btl
Amstel Btl,3.8,0,2022-05-28,2022-06-03,Btl
Amstel Btl,2.28,0,2022-06-04,2022-06-03,Btl
Amstel Btl,3.8,0,2022-06-04,2022-06-15,Btl
Amstel Btl,2.28,0,2022-06-16,2022-06-15,Btl
Amstel Btl,3.8,0,2022-06-16,2022-06-22,Btl
Amstel Btl,2.28,0,2022-06-23,2022-07-02,Btl
Amstel Btl,3.8,0,2022-07-03,2022-07-06,Btl
Amstel Btl,2.28,0,2022-07-07,2022-07-06,Btl
Amstel Btl,3.8,0,2022-07-07,2022-07-10,Btl
Amstel Btl,2.28,0,2022-07-11,2022-07-11,Btl
Amstel Btl,3.8,0,2022-07-12,2022-07-25,Btl
Amstel Btl,2.28,0,2022-07-26,2022-07-27,Btl
Amstel Btl,3.8,0,2022-07-28,2022-08-03,Btl
Amstel Btl,2.28,0,2022-08-04,2022-08-03,Btl
Amstel Btl,3.8,0,2022-08-04,2022-08-06,Btl
Amstel Btl,2.28,0,2022-08-07,2022-08-07,Btl
Amstel Btl,3.8,0,2022-08-08,2022-08-14,Btl
Amstel Btl,2.28,0,2022-08-15,2022-08-14,Btl
Amstel Btl,3.8,0,2022-08-15,2022-08-24,Btl
Amstel Btl,2.28,0,2022-08-25,2022-08-24,Btl
Amstel Btl,3.8,0,2022-08-25,2022-09-08,Btl
Amstel Btl,2.28,0,2022-09-09,2022-09-10,Btl
Amstel Btl,3.8,0,2022-09-11,2022-09-23,Btl
Amstel Btl,2.28,0,2022-09-24,2022-09-25,Btl
Amstel Btl,3.8,0,2022-09-26,2022-09-27,Btl
Amstel Btl,2.28,0,2022-09-28,2022-09-27,Btl
Amstel Btl,3.8,0,2022-09-28,2022-10-02,Btl
Amstel Btl,2.28,0,2022-10-03,2022-10-03,Btl
Amstel Btl,3.8,0,2022-10-04,2022-11-28,Btl
Amstel Btl,1.64870833333333,0,2022-11-29,2024-06-29,Btl
Amstel Btl,1.527,0,2024-06-30,2024-10-12,Btl
Amstel Btl,1.6396,0,2024-10-13,2099-12-31,Btl
