Item,Price,cost,ValidFrom,ValidTo,Type
Budvar Btl,3.6,0,2021-08-19,2021-12-21,Btl
Budvar Btl,6.0,0,2021-12-22,2022-02-19,Btl
Budvar Btl,3.6,0,2022-02-20,2022-02-21,Btl
Budvar Btl,6.0,0,2022-02-22,2022-02-25,Btl
Budvar Btl,3.6,0,2022-02-26,2022-02-28,Btl
Budvar Btl,6.0,0,2022-03-01,2022-03-07,Btl
Budvar Btl,3.6,0,2022-03-08,2022-03-07,Btl
Budvar Btl,6.0,0,2022-03-08,2022-03-08,Btl
Budvar Btl,3.6,0,2022-03-09,2022-03-12,Btl
Budvar Btl,6.0,0,2022-03-13,2022-03-15,Btl
Budvar Btl,3.6,0,2022-03-16,2022-03-28,Btl
Budvar Btl,6.0,0,2022-03-29,2022-04-19,Btl
Budvar Btl,3.6,0,2022-04-20,2022-05-07,Btl
Budvar Btl,6.0,0,2022-05-08,2022-05-14,Btl
Budvar Btl,3.6,0,2022-05-15,2022-05-14,Btl
Budvar Btl,6.0,0,2022-05-15,2022-05-17,Btl
Budvar Btl,3.6,0,2022-05-18,2022-06-17,Btl
Budvar Btl,6.0,0,2022-06-18,2022-07-03,Btl
Budvar Btl,3.6,0,2022-07-04,2022-07-09,Btl
Budvar Btl,6.0,0,2022-07-10,2022-07-11,Btl
Budvar Btl,3.6,0,2022-07-12,2022-07-11,Btl
Budvar Btl,6.0,0,2022-07-12,2022-07-12,Btl
Budvar Btl,3.6,0,2022-07-13,2022-07-12,Btl
Budvar Btl,6.0,0,2022-07-13,2022-11-30,Btl
Budvar Btl,3.6,0,2022-12-01,2022-12-03,Btl
Budvar Btl,6.0,0,2022-12-04,2022-12-04,Btl
Budvar Btl,3.6,0,2022-12-05,2022-12-07,Btl
Budvar Btl,6.0,0,2022-12-08,2099-12-31,Btl
