Item,Price,cost,ValidFrom,ValidTo,Type
Chivas Regal 12Y.Btl,80.0,0,2021-08-19,2022-09-16,Btl
Chivas Regal 12Y.Btl,85.0,0,2022-09-17,2023-05-31,Btl
Chivas Regal 12Y.Btl,90.0,0,2023-06-01,2023-10-18,Btl
Chivas Regal 12Y.Btl,35.388,0,2023-10-19,2023-10-18,Btl
Chivas Regal 12Y.Btl,90.0,0,2023-10-19,2023-12-26,Btl
Chivas Regal 12Y.Btl,80.0,0,2023-12-27,2024-01-20,Btl
Chivas Regal 12Y.Btl,41.537,0,2024-01-21,2024-01-21,Btl
Chivas Regal 12Y.Btl,80.0,0,2024-01-22,2024-02-28,Btl
Chivas Regal 12Y.Btl,90.0,0,2024-02-29,2024-06-29,Btl
Chivas Regal 12Y.Btl,33.772,0,2024-06-30,2024-06-29,Btl
Chivas Regal 12Y.Btl,90.0,0,2024-06-30,2025-04-27,Btl
Chivas Regal 12Y.Btl,32.38,0,2025-04-28,2025-04-27,Btl
Chivas Regal 12Y.Btl,90.0,0,2025-04-28,2025-05-30,Btl
Chivas Regal 12Y.Btl,32.38,0,2025-05-31,2025-05-30,Btl
Chivas Regal 12Y.Btl,32.18,0,2025-05-31,2025-05-30,Btl
Chivas Regal 12Y.Btl,90.0,0,2025-05-31,2099-12-31,Btl
