Item,Price,cost,ValidFrom,ValidTo,Type
Heineken Btl,6.0,0,2021-08-19,2023-11-22,Btl
Heineken Btl,2.0,0,2023-11-23,2023-11-23,Btl
Heineken Btl,6.0,0,2023-11-24,2024-03-30,Btl
Heineken Btl,2.0,0,2024-03-31,2024-03-31,Btl
Heineken Btl,6.0,0,2024-04-01,2024-05-31,Btl
Heineken Btl,1.756,0,2024-06-01,2024-06-04,Btl
Heineken Btl,6.0,0,2024-06-05,2024-06-29,Btl
Heineken Btl,1.756,0,2024-06-30,2024-06-29,Btl
Heineken Btl,6.0,0,2024-06-30,2024-12-25,Btl
Heineken Btl,1.741,0,2024-12-26,2025-01-02,Btl
Heineken Btl,6.0,0,2025-01-03,2025-04-27,Btl
Heineken Btl,1.74,0,2025-04-28,2025-04-28,Btl
Heineken Btl,6.0,0,2025-04-29,2099-12-31,Btl
