Item,Price,cost,ValidFrom,ValidTo,Type
J.W Black Label Btl,80.0,0,2021-08-19,2022-09-16,Btl
J.W Black Label Btl,90.0,0,2022-09-17,2023-10-18,Btl
J.W Black Label Btl,32.892,0,2023-10-19,2023-10-18,Btl
J.W Black Label Btl,90.0,0,2023-10-19,2023-12-26,Btl
J.W Black Label Btl,36.11,0,2023-12-27,2023-12-26,Btl
J.W Black Label Btl,90.0,0,2023-12-27,2024-06-29,Btl
J.W Black Label Btl,33.09,0,2024-06-30,2024-06-29,Btl
J.W Black Label Btl,90.0,0,2024-06-30,2025-05-07,Btl
J.W Black Label Btl,32.8703,0,2025-05-08,2025-05-08,Btl
J.W Black Label Btl,90.0,0,2025-05-09,2025-05-30,Btl
J.W Black Label Btl,33.67,0,2025-05-31,2025-05-30,Btl
J.W Black Label Btl,90.0,0,2025-05-31,2099-12-31,Btl
