Item,Price,cost,ValidFrom,ValidTo,Type
Jose Cuervo Silver Btl70Cl,55.0,0,2021-08-19,2023-06-03,Btl
Jose Cuervo Silver Btl70Cl,65.0,0,2023-06-04,2023-10-18,Btl
Jose Cuervo Silver Btl70Cl,25.016,0,2023-10-19,2023-10-24,Btl
Jose Cuervo Silver Btl70Cl,65.0,0,2023-10-25,2024-04-29,Btl
Jose Cuervo Silver Btl70Cl,70.0,0,2024-04-30,2024-12-25,Btl
Jose Cuervo Silver Btl70Cl,23.449,0,2024-12-26,2024-12-25,Btl
Jose Cuervo Silver Btl70Cl,70.0,0,2024-12-26,2025-02-12,Btl
Jose Cuervo Silver Btl70Cl,23.45,0,2025-02-13,2025-02-12,Btl
Jose Cuervo Silver Btl70Cl,70.0,0,2025-02-13,2025-05-07,Btl
Jose Cuervo Silver Btl70Cl,22.80555,0,2025-05-08,2025-05-09,Btl
Jose Cuervo Silver Btl70Cl,70.0,0,2025-05-10,2099-12-31,Btl
