Item,Price,cost,ValidFrom,ValidTo,Type
Lunardi Merlot-Btl,35.0,0,2021-08-19,2023-12-26,Btl
Lunardi Merlot-Btl,9.17,0,2023-12-27,2023-12-26,Btl
Lunardi Merlot-Btl,35.0,0,2023-12-27,2024-01-09,Btl
Lunardi Merlot-Btl,36.0,0,2024-01-10,2024-03-30,Btl
Lunardi Merlot-Btl,9.17,0,2024-03-31,2024-04-09,Btl
Lunardi Merlot-Btl,36.0,0,2024-04-10,2024-09-28,Btl
Lunardi Merlot-Btl,9.136,0,2024-09-29,2024-10-03,Btl
Lunardi Merlot-Btl,36.0,0,2024-10-04,2024-11-09,Btl
Lunardi Merlot-Btl,9.136,0,2024-11-10,2024-11-11,Btl
Lunardi Merlot-Btl,36.0,0,2024-11-12,2024-12-25,Btl
Lunardi Merlot-Btl,9.176,0,2024-12-26,2025-01-08,Btl
Lunardi Merlot-Btl,36.0,0,2025-01-09,2025-02-12,Btl
Lunardi Merlot-Btl,9.17,0,2025-02-13,2025-02-14,Btl
Lunardi Merlot-Btl,36.0,0,2025-02-15,2025-05-30,Btl
Lunardi Merlot-Btl,9.17,0,2025-05-31,2099-12-31,Btl
