Item,Price,cost,ValidFrom,ValidTo,Type
Lunardi P.Grigio-Btl,35.0,0,2021-08-19,2023-12-26,Btl
Lunardi P.Grigio-Btl,9.176,0,2023-12-27,2023-12-26,Btl
Lunardi P.Grigio-Btl,35.0,0,2023-12-27,2024-01-08,Btl
Lunardi P.Grigio-Btl,36.0,0,2024-01-09,2024-02-05,Btl
Lunardi P.Grigio-Btl,9.176,0,2024-02-06,2024-02-06,Btl
Lunardi P.Grigio-Btl,36.0,0,2024-02-07,2024-03-30,Btl
Lunardi P.Grigio-Btl,9.17,0,2024-03-31,2024-04-03,Btl
Lunardi P.Grigio-Btl,36.0,0,2024-04-04,2024-05-31,Btl
Lunardi P.Grigio-Btl,9.037,0,2024-06-01,2024-06-10,Btl
Lunardi P.Grigio-Btl,36.0,0,2024-06-11,2024-06-29,Btl
Lunardi P.Grigio-Btl,9.037,0,2024-06-30,2024-06-29,Btl
Lunardi P.Grigio-Btl,36.0,0,2024-06-30,2024-12-25,Btl
Lunardi P.Grigio-Btl,9.106,0,2024-12-26,2024-12-31,Btl
Lunardi P.Grigio-Btl,36.0,0,2025-01-01,2025-02-12,Btl
Lunardi P.Grigio-Btl,9.17,0,2025-02-13,2025-02-12,Btl
Lunardi P.Grigio-Btl,36.0,0,2025-02-13,2025-04-27,Btl
Lunardi P.Grigio-Btl,9.17,0,2025-04-28,2025-05-01,Btl
Lunardi P.Grigio-Btl,36.0,0,2025-05-02,2025-05-30,Btl
Lunardi P.Grigio-Btl,9.17,0,2025-05-31,2025-05-31,Btl
Lunardi P.Grigio-Btl,36.0,0,2025-06-01,2099-12-31,Btl
