Item,Price,cost,ValidFrom,ValidTo,Type
Russian Standard Btl,50.0,0,2021-08-19,2022-09-17,Btl
Russian Standard Btl,55.0,0,2022-09-18,2024-02-05,Btl
Russian Standard Btl,13.666,0,2024-02-06,2024-02-05,Btl
Russian Standard Btl,55.0,0,2024-02-06,2025-02-12,Btl
Russian Standard Btl,14.47,0,2025-02-13,2025-02-13,Btl
Russian Standard Btl,55.0,0,2025-02-14,2025-05-07,Btl
Russian Standard Btl,14.74074,0,2025-05-08,2025-05-07,Btl
Russian Standard Btl,55.0,0,2025-05-08,2025-05-30,Btl
Russian Standard Btl,14.66,0,2025-05-31,2025-05-30,Btl
Russian Standard Btl,55.0,0,2025-05-31,2099-12-31,Btl
