Date_Crudites_Platter,Slot_12_to_18_Crudites_Platter,Slot_18_to_19_Crudites_Platter,Base_Price_Crudites_Platter,Slot_12_to_18_Org,Slot_18_to_19_Org,Base_Price_Hours_Org,Happy_Hour_Crudites_Platter,Discount_Crudites_Platter,
8/19/2021,5.25,7,7,0,0,7,Happy Hour 12-6,25,
8/20/2021,5.25,7,7,0,0,0,Happy Hour 12-6,25,
8/21/2021,5.25,7,7,0,0,0,Happy Hour 12-6,25,
8/22/2021,5.25,7,7,0,0,0,Happy Hour 12-6,25,
8/23/2021,5.25,7,7,0,0,0,Happy Hour 12-6,25,
8/24/2021,5.25,7,7,0,0,0,Happy Hour 12-6,25,
8/25/2021,5.25,7,7,0,0,0,Happy Hour 12-6,25,
8/26/2021,5.25,7,7,0,0,7,Happy Hour 12-6,25,
8/27/2021,5.25,7,7,0,0,7,Happy Hour 12-6,25,
8/28/2021,5.25,7,7,0,0,0,Happy Hour 12-6,25,
8/29/2021,5.25,7,7,0,0,0,Happy Hour 12-6,25,
8/30/2021,5.25,7,7,0,0,7,Happy Hour 12-6,25,
8/31/2021,5.25,7,7,5.25,0,7,Happy Hour 12-6,25,
9/1/2021,5.25,7,7,0,0,0,Happy Hour 12-6,25,
9/2/2021,5.25,7,7,5.25,0,7,Happy Hour 12-6,25,
9/3/2021,5.25,7,7,0,0,7,Happy Hour 12-6,25,
9/4/2021,5.25,7,7,0,0,0,Happy Hour 12-6,25,
9/5/2021,5.25,7,7,0,0,0,Happy Hour 12-6,25,
9/6/2021,5.25,7,7,0,0,7,Happy Hour 12-6,25,
9/7/2021,5.25,7,7,0,0,7,Happy Hour 12-6,25,
9/8/2021,5.25,7,7,0,0,7,Happy Hour 12-6,25,
9/9/2021,5.25,7,7,0,0,0,Happy Hour 12-6,25,
9/10/2021,5.25,7,7,0,0,0,Happy Hour 12-6,25,
9/11/2021,5.25,7,7,0,0,7,Happy Hour 12-6,25,
9/12/2021,5.25,7,7,0,0,0,Happy Hour 12-6,25,
9/13/2021,5.25,7,7,5.25,0,0,Happy Hour 12-6,25,
9/14/2021,5.25,7,7,0,0,7,Happy Hour 12-6,25,
9/15/2021,5.25,7,7,0,0,7,Happy Hour 12-6,25,
9/16/2021,5.25,7,7,0,0,7,Happy Hour 12-6,25,
9/17/2021,5.25,7,7,0,0,7,Happy Hour 12-6,25,
9/18/2021,5.25,7,7,0,0,0,Happy Hour 12-6,25,
9/19/2021,5.25,7,7,0,0,7,Happy Hour 12-6,25,
9/20/2021,5.25,7,7,0,0,0,Happy Hour 12-6,25,
9/21/2021,5.25,7,7,0,0,7,Happy Hour 12-6,25,
9/22/2021,5.25,7,7,0,0,0,Happy Hour 12-6,25,
9/23/2021,5.25,7,7,0,0,7,Happy Hour 12-6,25,
9/24/2021,5.25,7,7,5.25,0,7,Happy Hour 12-6,25,
9/25/2021,5.25,7,7,0,0,7,Happy Hour 12-6,25,
9/26/2021,5.25,7,7,0,0,7,Happy Hour 12-6,25,
9/27/2021,5.25,7,7,0,0,7,Happy Hour 12-6,25,
9/28/2021,5.25,7,7,0,0,0,Happy Hour 12-6,25,
9/29/2021,5.25,7,7,5.25,0,7,Happy Hour 12-6,25,
9/30/2021,5.25,7,7,5.25,0,7,Happy Hour 12-6,25,
10/1/2021,5.25,7,7,0,0,7,Happy Hour 12-6,25,
10/2/2021,5.25,7,7,0,0,7,Happy Hour 12-6,25,
10/3/2021,5.25,7,7,0,7,7,Happy Hour 12-6,25,
10/4/2021,5.25,7,7,0,0,7,Happy Hour 12-6,25,
10/5/2021,5.25,7,7,0,0,7,Happy Hour 12-6,25,
10/6/2021,5.25,7,7,5.25,0,7,Happy Hour 12-6,25,
10/7/2021,5.25,7,7,0,7,7,Happy Hour 12-6,25,
10/8/2021,5.25,7,7,5.25,0,7,Happy Hour 12-6,25,
10/9/2021,5.25,7,7,5.25,0,7,Happy Hour 12-6,25,
10/10/2021,5.25,7,7,5.25,0,0,Happy Hour 12-6,25,
10/11/2021,5.25,7,7,5.25,0,7,Happy Hour 12-6,25,
10/12/2021,5.25,7,7,0,0,7,Happy Hour 12-6,25,
10/13/2021,5.25,7,7,0,0,0,Happy Hour 12-6,25,
10/14/2021,5.25,7,7,5.25,7,7,Happy Hour 12-6,25,
10/15/2021,5.25,7,7,0,7,7,Happy Hour 12-6,25,
10/16/2021,5.25,7,7,0,7,7,Happy Hour 12-6,25,
10/17/2021,5.25,7,7,5.25,0,7,Happy Hour 12-6,25,
10/18/2021,5.25,7,7,0,0,7,Happy Hour 12-6,25,
10/19/2021,5.25,7,7,5.25,0,7,Happy Hour 12-6,25,
10/20/2021,5.25,7,7,0,0,7,Happy Hour 12-6,25,
10/21/2021,5.25,7,7,5.25,0,7,Happy Hour 12-6,25,
10/22/2021,5.25,7,7,0,0,7,Happy Hour 12-6,25,
10/23/2021,5.25,7,7,0,0,7,Happy Hour 12-6,25,
10/24/2021,5.25,7,7,0,0,7,Happy Hour 12-6,25,
10/25/2021,5.25,7,7,0,0,7,Happy Hour 12-6,25,
10/26/2021,5.25,7,7,0,0,7,Happy Hour 12-6,25,
10/27/2021,5.25,7,7,0,7,7,Happy Hour 12-6,25,
10/28/2021,5.25,7,7,5.25,7,7,Happy Hour 12-6,25,
